epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.3596,3.36794,4.54544,3.12471,0,0,0,0,2.71042,4.80551,2.68625,0,0,0
2,2.82821,2.89299,4.80222,2.79775,0,0,0,0,2.76145,4.69749,2.6833,1.35826e-05,1.35826e-05,1.35826e-05
3,4.318,2.08952,3.83754,2.21879,0,0,0,0,2.76237,4.52172,2.69663,2.57506e-05,2.57506e-05,2.57506e-05
4,5.77541,3.87082,4.66683,3.30538,0,0,0,0,2.78366,4.55344,2.70573,3.65038e-05,3.65038e-05,3.65038e-05
5,7.18214,2.43322,4.55517,2.30263,0,0,0,0,2.78366,4.55344,2.70573,4.58423e-05,4.58423e-05,4.58423e-05
6,9.32376,3.17065,4.37133,2.71616,0,0,0,0,2.64285,4.62353,2.64217,5.37661e-05,5.37661e-05,5.37661e-05
7,11.0421,2.86769,4.21315,2.43779,0,0,0,0,2.64285,4.62353,2.64217,6.02752e-05,6.02752e-05,6.02752e-05
8,12.3256,2.6235,4.67062,3.10146,0,0,0,0,2.38962,4.7796,2.53333,6.53696e-05,6.53696e-05,6.53696e-05
9,13.8494,2.4786,4.21609,2.23809,0,0,0,0,2.38962,4.7796,2.53333,6.90493e-05,6.90493e-05,6.90493e-05
10,15.3776,2.59999,4.05019,2.88359,0,0,0,0,2.31393,4.61083,2.47676,7.13142e-05,7.13142e-05,7.13142e-05
11,16.4872,2.22375,4.22992,2.68709,0,0,0,0,2.31393,4.61083,2.47676,7.21645e-05,7.21645e-05,7.21645e-05
12,17.6751,2.35136,4.79272,2.63842,0,0,0,0,2.31393,4.61083,2.47676,7.16e-05,7.16e-05,7.16e-05
13,19.0706,2.70992,4.38704,2.66961,0.01471,1,0.01463,0.00585,2.07471,4.48992,2.34187,6.96209e-05,6.96209e-05,6.96209e-05
14,20.3264,2.39666,4.26389,2.6849,0.01471,1,0.01463,0.00585,2.07471,4.48992,2.34187,6.6227e-05,6.6227e-05,6.6227e-05
15,21.7954,2.25238,4.28619,2.43464,0.01471,1,0.01463,0.00585,2.07471,4.48992,2.34187,6.14184e-05,6.14184e-05,6.14184e-05
16,23.6026,3.3794,5.52695,3.1225,0.01429,1,0.01421,0.00711,2.06403,4.37844,2.24413,5.51951e-05,5.51951e-05,5.51951e-05
17,25.0367,2.25036,4.46663,2.48557,0.01429,1,0.01421,0.00711,2.06403,4.37844,2.24413,4.75571e-05,4.75571e-05,4.75571e-05
18,26.6098,2.73027,6.30887,2.67325,0.01429,1,0.01421,0.00711,2.06403,4.37844,2.24413,3.85044e-05,3.85044e-05,3.85044e-05
19,27.838,2.55879,5.28745,2.66156,0.01429,1,0.01421,0.00711,2.06403,4.37844,2.24413,2.8037e-05,2.8037e-05,2.8037e-05
20,29.1288,2.59763,4.50615,2.59466,0.01408,1,0.01421,0.00711,2.01582,4.35688,2.20575,1.61548e-05,1.61548e-05,1.61548e-05
